"Entity","Domain","Column_Count","Relationship_Count","Parent_Entity","Subtype_Count","Description"
"ACCIDENT_TYPE","Other","3","3","","0","This minor entity identifies the type of accident that resulted in this specific claim. Examples for an automobile accident include rear impact, side impact, head-on collision, rollover, runoff, and hit and run. Other types include hurricane, earthquake, and airplane crash.  A further breakdown of a"
"ACCOUNT","Agreement/Account","13","13","","3","For financial services, this entity is used for accounts that are external to the enterprise such as accounts payable payment accounts, and external standing order accounts. There is a one to zero/one relationship between AGREEMENT and ACCOUNT. For external accounts the enterprise only knows about t"
"ACCOUNTING_CALENDAR_TYPE","Agreement/Account","0","0","CALENDAR_TYPE","0","This entity supports all types of accounting or fiscal calendars as required by the enterprise."
"ACCOUNTING_CURRENCY","Agreement/Account","5","3","","0","This entity tracks the changes to the Internal Accounting Currency (IAC) over time. For example, if the country is Germany, then the internal accounting currency could be marks. There is one instance for marks. When the change is made to go to the Euro as the IAC then there is an instance for Euro. "
"ACCOUNTING_TYPE","Agreement/Account","2","1","","0","This minor entity specifies the type of accounting currency such as global or local currency."
"ACCOUNTS_PAYABLE","Agreement/Account","0","1","CURRENT_LIABILITY_ACCOUNT","0","The entity that provides details of ACCOUNTS PAYABLE for a company. ACCOUNTS PAYABLE records how much a company owes suppliers for the purchase of supplies or services on credit."
"ACCOUNTS_RECEIVABLE","Agreement/Account","0","0","CURRENT_ASSET_ACCOUNT","0","The entity that provides details for the ACCOUNTS RECEIVABLE accounts. ACCOUNTS RECEIVABLE is the payment a company expects to collect from a PARTY, generally from a completed transaction of sales or services rendered. ACCOUNTS RECEIVABLE accounts are types of current assets."
"ACCOUNT_INVOLVEMENT_SUBTYPE","Agreement/Account","2","1","","0","This is a subtype discriminator that indicates whether the enterprise is one of the parties to the account. ""Internal"" indicates the enterprise is a party to the account, and ""external"" indicates that the enterprise is not a party to the account."
"ACCOUNT_METRIC","Agreement/Account","8","5","","0","This entity contains any kind of metric applicable to this account over time such as current monetary balance, current point balance, and current past due balance amount. This entity can track any kind of metric over time."
"ACCOUNT_METRIC_TYPE","Agreement/Account","2","1","","0","This is a code for the type of metric such as current monetary balance, current point balance, and current past due balance amount."
"ACCOUNT_PURPOSE_SUBTYPE","Agreement/Account","2","1","","0","This is a subtype discriminator based on the purpose of the account such as a transaction account or a loyalty account."
"ACCOUNT_RENEWAL","Agreement/Account","5","1","","0","This entity tracks history information regarding account renewal start and end dates for renewable accounts. Each instance is one renewal period including the original or first period."
"ACCOUNT_TYPE","Agreement/Account","2","1","","0","This is a classification of the account."
"ACCRUED_LIABILITY_ACCOUNT","Agreement/Account","0","0","CURRENT_LIABILITY_ACCOUNT","0","The entity that provides details for the accrued liabilities. Accrued liabilities recognize expenses incurred during the accounting period but not yet paid."
"ACTIVE_INGREDIENT","Other","4","3","","0","Describes the chemicals that are used as active ingredients in the formation of a generic drug. Each drug's strength is defined in terms of its generic drug composition. The active ingredient name is equivalent to the chemical short name.  Example: Loratadine and Pseudoephedrine Sulfate (i.e., Clari"
"ACTIVITY_ACTIVITY_GROUP","Other","2","2","","0","This entity associates an activity with activity groups. An activity can be associated with many groups and a group consists of many activities. This allows an activity to be grouped many ways. For example, the deposit activity may be grouped into financial account transactions and also asset relate"
"ACTIVITY_GROUP","Other","4","4","","0","This recursive entity groups the activity groups into higher levels. For example, the financial institution may want to group the activity groups into all electronic transactions or all nonaccount transactions."
"ACTUAL_IMPACT_AREA","Other","7","5","","0","This captures the actual time, area, and severity of an event that can potentially impact business operations or services."
"ACTUAL_IMPACT_AREA_METRIC","Other","12","4","","0","This captures metrics associated with the impacted area that are not associated with the measuring device (weather station or seismograph). Example metrics include number of casualties, number injured, number of houses destroyed, and number of acres burned."
"AD","Other","9","28","","6","A marketing message aimed at a segment of consumers. Usually, mentions specific items or product. Can be placed in magazines, on web pages, and television.  A relationship to either campaign or a promotion is provided since nulls are allowed for both."
"ADDRESS","Location/Geography","2","5","LOCATOR","9","This entity contains all locators that are addresses of point locations where no further decomposition of the address is desired.  Currently, the entity does not carry any non-key attributes. It might carry a common short name for a locator. A short name would typically be derived from the detailed "
"ADDRESS_DELIVERY_STATUS","Location/Geography","7","3","","0","This entity contains information about potential problems in delivery of content to addresses. Different sources can provide information such as: - Post office providing change of address notifications - Third-party vendors providing address cleanup information - Information known internally, such a"
"ADDRESS_SUBTYPE","Location/Geography","2","1","","0","A code that uniquely identifies the ADDRESS SUBTYPE.  Examples: - Street address - Electronic address - Geospatial locator - Parcel address - Post office box address - Military address"
"ADD_ON_FACTOR_PARAMETER","Other","7","2","","0","This parameter table defines the potential future exposure add-on  factors. It is used to calculate the counterparty credit risk charge for single name credit derivative transactions in the trading book.  Reference paragraph 707 in June 2004 Accord."
"ADJUDICATION_AMOUNT_TYPE","Claims Management","2","3","","0","The type of monetary amount on a claim resulting from adjudication.  Examples: - Noncovered amount - Paid amount - Copaid amount - Deductible amount - Withheld amount - Allowed amount - Discount amount - Per day limit amount - Tax amount"
"ADJUDICATION_TYPE","Claims Management","2","1","","0","This is a code used to identify uniquely the type of adjudication.  Examples: - Internal - COB (Coordination of Benefits)"
"ADJUSTED_EARNING","Human Resources","1","1","DIRECT_EARNING","2","Adjustments made to an Associate's earnings. Adjustments can be for retroactive pay, reimbursement for overwithheld taxes, or other corrections to include negative adjustments."
"ADJUSTED_EARNING_SUBTYPE","Human Resources","2","1","","0","This is a code for the types of adjusted earnings.  Examples: - Retroactive pay - Reimbursement for overwithheld taxes - Other corrections including negative adjustments"
"ADJUSTMENT_REASON_TYPE","Other","2","3","","0","This entity identifies the specific reason for an adjustment within an ADJUSTMENT TYPE.  Examples: - For ADJUSTMENT TYPE of ""Goodwill"" ADJUSTMENT REASON TYPE of: packaging lightly damaged or driver late - For ADJUSTMENT TYPE of ""Bad Debt,"" ADJUSTMENT REASON TYPE of: company out of business or custom"
"ADJUSTMENT_TYPE","Other","2","3","","0","This is a high-level classification of why an adjustment was made. The related entity will contain an amount attribute that will designate whether the adjustment is positive (+) or negative (-).  Examples: - Goodwill - Debit - Rating change - Bad debt - Adjustment increase"
"ADMINISTRATION_ROUTE_TYPE","Other","2","1","","0","Describes the route of administration for a drug.  Examples: - Oral - Intravenous - Intramuscular - Topical"
"ADMINISTRATIVE_ALERT","Other","1","0","ALERT_EVENT","0","This entity identifies a type of ALERT EVENT such as notifications that scheduled maintenance have been performed or that scheduled testing has been done. ADMINISTRATIVE ALERTs may or may not be issued to a PARTY for action but may only be maintained for statistical review.  This type of ALERT EVENT"
"ADMISSION_AUTHORIZATION","Other","5","2","CLAIM_AUTHORIZATION","0","A type of claim authorization that is for admission."
"ADMISSION_SOURCE_TYPE","Other","2","2","","0","Identifies the source of admission.  CODE SOURCE 230: Admission Source Code  Examples: - Physician referral - Clinic referral - HMO referral - Transfer from hospital - Transfer from SNF - Transfer from other - Emergency room - Court/law enforcement - Other  When type of admission is a newborn, the f"
"ADMISSION_TYPE","Other","2","2","","0","A unique code that identifies the priority of the admission.  CODE SOURCE 231: Admission Type Code PHVS_AdmissionType_HL7_2x Value Set OID 2.16.840.1.114222.4.11.913 Value Set Description HL7 version 2.5 User-Defined Table 0007 Admit Type codes used in ADT messages  Example: Value Set Name: Admissio"
"ADVERTISEMENT_SPOT_TYPE","Campaign/Marketing","2","1","","0","This entity captures information regarding the SPOT type.  Examples: - Standard - Promotional"
"ADVERTISEMENT_USAGE_INFORMATION","Campaign/Marketing","4","2","","0","Captures information from a TV Receiver device regarding Advertisement usage."
"AD_CAMPAIGN_OBJECTIVE","Campaign/Marketing","25","15","","0","This entity captures information regarding ad campaigns objectives.  Note: The information in this entity is usually sourced from third-party ad management systems."
"AD_CONTACT_XREF","Party Management","2","2","","0","This entity captures information regarding any contact with a party with regards to an ad.  Frequently, displayed ads generate viewer feedback. This enables linking comments back to the specific ad that was displayed."
"AD_CREATIVE","Campaign/Marketing","2","2","","0","This entity captures information regarding multimedia objects involved in the creation of an advertisement."
"AD_DELIVERY_TYPE","Campaign/Marketing","2","2","","0","This code defines the type of delivery utilized for an impression.  Examples: - Stream - Macromedia Flash - Pop-up"
"AD_EVENT","Campaign/Marketing","5","5","VISITOR_INTERACTION_EVENT","0","This entity captures information regarding custom ad click-through events. Ad click-through events capture information regarding the ads displayed when a visitor performs a click-through action."
"AD_EVENT_TYPE","Campaign/Marketing","2","1","","0","This code captures information regarding ad event types."
"AD_GROUP_PROMOTION_XREF","Campaign/Marketing","2","1","","0","This entity captures information regarding linkages between paid search ad groups and paid search promotions. Ad groups are actually groups of items that have linkages to the keywords or phrases."
"AD_IDENTIFIER","Campaign/Marketing","8","3","","0","This entity contains information regarding the ad identifier structure. The full structure layout is described below. - Ad identifier codes are generated through a secure, web-accessible database located at www.ad-id.org. All ad identifier codes are 11 characters except for HD or 3D codes, which hav"
"AD_IDENTIFIER_DEFINITION_TYPE","Campaign/Marketing","2","1","","0","This is the indicator that is used to specify high-definition (HD) or 3D.  Note: Only high-definition (HD) and 3D codes have a 12th character. All HD codes have an H in the 12th character and all 3D codes have a D in the 12th character."
"AD_IDENTIFIER_PREFIX_TYPE","Campaign/Marketing","2","1","","0","This is the four-character prefix, it is an identifier licensed to a company and used at the beginning of each advertisement identifier code. Prefixes cannot start with zero and they may be either locked or unlocked.  Note: Locked prefixes can only be used for the advertiser to which they are licens"
"AD_IMPRESSION_SUMMARY","Campaign/Marketing","6","3","","0","This entity provides periodic statistics about the advertisement objects that have been displayed. These values are usually collected by the ad agency.  Some ad agencies only capture summary information with regard to the delivery of advertisements and the actions taken by the viewers of the adverti"
"AD_NETWORK","Campaign/Marketing","3","2","","0","This entity represents a group of publisher sites that an ad or campaign is run on. Ad networks commonly have predefined networks that advertisers can choose to run their ads on. Examples include a computers and technology network that would include the entire computer and technology related sites t"
"AD_NETWORK_WEB_SITE","Campaign/Marketing","2","2","","0","This entity relates the web sites that are contained in a specific ad network."
"AD_OFFER","Campaign/Marketing","2","2","","0","This entity relates ads to offers. An offer is presented in an ad."
"AD_ORDER_COMMISSION","Campaign/Marketing","4","2","","0","This is a cross-reference of sales persons and commissions associated with the ad order.  Example: - M. Stephenson will be receiving 10% on all revenue generated by Ad # 54298743."
"AD_ORDER_DIGITAL_TYPE","Campaign/Marketing","2","1","","0","This code is a classification of online channels for advertisements.  Examples: - Web - Interactive television - Interactive game play device"
"AD_ORDER_EVENT","Campaign/Marketing","2","2","","0","This entity enables the linking of ad orders to event activities. By providing a cross-reference between ad orders and events, the ad order function can be tracked within the event hierarchy."
"AD_ORDER_EXPENSE_FORECAST","Campaign/Marketing","7","3","","0","This entity is used for future estimates, projections, and forecasts of ad order expenses by ad space buyers.  It accommodates multiple simultaneous methods and forecast sources (allowing for the selection of the most accurate method when the ""actuals"" become known).  It also houses the (derived) ""a"
"AD_ORDER_HEADER","Campaign/Marketing","6","10","","3","This entity captures header information regarding an advertisement order from a buyer (advertiser or ad agency) to an ad space seller (ad agency or publisher) indicating the buyer's desire to reserve space to display an advertisement."
"AD_ORDER_HEADER_DETAIL","Campaign/Marketing","11","6","","0","This entity contains information regarding the details of an ad order header."
"AD_ORDER_HEADER_PLATFORM_XREF","Campaign/Marketing","3","3","","0","This entity links ad orders to the platforms (channel instances) they are associated with."
"AD_ORDER_HEADER_REVENUE_TYPE","Campaign/Marketing","2","1","","0","This entity captures information regarding the ad order revenue type.  Examples: - Broadcast - Internet"
"AD_ORDER_HEADER_SUBTYPE","Campaign/Marketing","2","1","","0","This entity captures information regarding ad order header types.  Examples: - Digital - Traditional - Makegood"
"AD_ORDER_HEADER_VALUE","Campaign/Marketing","2","1","","0","This entity captures information regarding the cash value associated with an ad order.  Examples: - Cash - Trade - Nonrevenue"
"AD_ORDER_LINE","Campaign/Marketing","5","3","","0","This entity captures the line item details relating to an ad order."
"AD_ORDER_LINE_CATEGORY","Campaign/Marketing","2","1","","0","This entity captures information regarding categories of ad order lines."
"AD_ORDER_LINE_DETAIL","Campaign/Marketing","15","4","","0","This entity contains information regarding the details of an ad order line."
"AD_ORDER_LINE_STATUS","Campaign/Marketing","5","2","","0","This entity defines the status of an ad order line over time."
"AD_ORDER_LINE_STATUS_TYPE","Campaign/Marketing","2","1","","0","This entity defines the status of an ad order line.  Examples: - Canceled - On hold - Complete"
"AD_ORDER_LINE_TYPE","Campaign/Marketing","2","1","","0","This entity captures information regarding the type of ad order line entry.  Examples: - Ad spot - Ancillary fee"
"AD_ORDER_MAKE_GOOD_PLACEMENT","Campaign/Marketing","0","0","MAKE_GOOD_ORDER","0","This entity captures information regarding make good replacement requests."
"AD_ORDER_MAKE_GOOD_REASON_TYPE","Campaign/Marketing","2","1","","0","This entity captures information regarding the reason for the make good request."
"AD_ORDER_MAKE_GOOD_REFUND","Campaign/Marketing","2","0","MAKE_GOOD_ORDER","0","This entity captures information regarding a make good request for a refund. The customer refuses to accept a replacement and requests a refund of the order."
"AD_ORDER_MAKE_GOOD_SUBTYPE","Campaign/Marketing","2","1","","0","This entity defines ad order make good subtypes such as placement and refund."
"AD_ORDER_PARTY","Party Management","5","3","","0","This entity contains the various parties involved in the ad order. The various parties and their role include: - Advertiser: the party whose products or services will be promoted in the ad space - Ad agency: the third party handling or facilitating the ad order between the advertiser and the publish"
"AD_ORDER_PARTY_ROLE","Party Management","2","1","","0","This is a role that a party may play with an ad order such as: - Advertiser: the party whose products or services will be promoted in the ad space - Ad agency: the third party handling or facilitating the ad order between the advertiser and the publisher. Not used when the ad order is placed directl"
"AD_ORDER_REVENUE_FORECAST","Campaign/Marketing","7","3","","0","This entity is used for future estimates, projections, and forecasts of ad order purchases by ad space sellers. It accommodates multiple simultaneous methods and forecast sources (allowing for the selection of the most accurate method when the 'actuals' become known).  Note: Also houses the (derived"
"AD_ORDER_STATUS","Campaign/Marketing","4","2","","0","This entity defines the status of an ad order header over time."
"AD_ORDER_STATUS_TYPE","Campaign/Marketing","2","1","","0","This entity defines the status of an ad order.  Examples: - Canceled - On hold - Complete"
"AD_ORDER_TRADITIONAL_TYPE","Campaign/Marketing","2","1","","0","This entity captures information regarding traditional channels for advertisements.  Examples: - Print - Television - Billboard - Radio"
"AD_ORDER_TYPE","Campaign/Marketing","2","1","","0","This entity captures information regarding the type of ad order.  Examples: - Normal - Per inquiry - Political - Sports - Direct response"
"AD_PERFORMANCE_RATING","Campaign/Marketing","5","4","","0","This entity captures information regarding the standardized viewership ratings for ads. In the USA, this would typically be the VNU/Nielsen rating."
"AD_PERFORMANCE_RATING_DAYPART","Campaign/Marketing","5","3","","0","This entity captures information regarding the standardized viewership ratings for ads. In the USA, this would typically be the VNU/Nielsen rating; the information is stored relative to the specific day part it is associated with."
"AD_PLACEMENT","Campaign/Marketing","9","9","","4","This is the placement request and delivery as specified by the ad order.  Examples: Traditional: - Totally solar ad on page 17 of March 2008 Wired magazine - Garden gnome ad on page 78 of House and Gardens magazine  Digital: - Dell student special ad in banner space of AOL.com - Norton antivirus ad "
"AD_PLACEMENT_BROADCAST_PLATFORM","Campaign/Marketing","5","2","","0","This captures information regarding broadcast output platform (channel instance) for this ad order.  Examples: - TV - Radio"
"AD_PLACEMENT_DISPLAY_TIME","Campaign/Marketing","6","4","","0","This entity defines the date and time that an ad was shown.  Examples: - Ad 2005467 is shown Monday morning (9am-11am) - Ad 872364098 is shown on Weekends (24 hours a day)"
"AD_PLACEMENT_OUTDOOR_PLATFORM","Campaign/Marketing","1","1","TRADITIONAL_PLACEMENT","0","This entity captures information regarding the display medium for outdoor advertisement placement. The outdoor medium covers billboards and advertisement displayed on vehicles."
"AD_PLACEMENT_PRINT_PLATFORM","Campaign/Marketing","3","2","TRADITIONAL_PLACEMENT","0","This entity captures information regarding the display medium for the advertisement placement. The print medium covers display mediums such as books, magazines, newspapers, and yellow pages."
"AD_PLACEMENT_SUBTYPE","Campaign/Marketing","2","1","","0","This code identifies the medium in which the ad appeared and is used as a category discriminator such as: - Print - TV - Radio - Web - Email"
"AD_PRODUCT_XREF","Product Management","4","2","","0","This entity captures information regarding the linkages of ads to items."
"AD_RATING","Campaign/Marketing","3","2","","0","This entity captures information regarding a specific rating (or certification) that can be assigned to an ad for an audience type or age."
"AD_RATING_REASON","Campaign/Marketing","2","1","","0","This entity provides the reason a certain ad rating is assigned.  Note: A recursive structure can be added if a hierarchy (or subdivisions) of reasons are required.  Examples: - Adult Themes - Strong Language - Sexual Content - Violence"
"AD_RATING_REASON_XREF","Campaign/Marketing","3","2","","0","This entity captures information regarding all the reasons a specific rating code of a specific rating system was assigned to an ad."
"AD_RATING_SYSTEM","Campaign/Marketing","3","2","","0","This entity captures information regarding a rating (or certification) system devised to rate advertisements for an audience type or age."
"AD_RATING_XREF","Campaign/Marketing","4","4","","0","This entity captures information regarding a specific rating (or certification) that has been assigned to an ad for an audience type or age."
"AD_RELATED","Campaign/Marketing","5","1","","0","This entity captures information that allows two related ads to be linked.  Note: Use this structure if a many-to-many relationship is desired between ads."
"AD_RELATED_TYPE","Campaign/Marketing","2","1","","0","This entity captures information that specifies why two ads are related."
"AD_SPONSORSHIP_CATEGORY_TYPE","Campaign/Marketing","2","1","","0","This entity captures information regarding ad sponsorship categories.  Examples: - NBA - MLB - NFL - NHL - NASCAR - Music - Hollywood - Skiing - Surfing - Extreme sports - Other - None"
"AD_SPONSORSHIP_PROGRAM_TYPE","Campaign/Marketing","2","1","","0","This entity captures information regarding ad sponsorship programs.  Examples: - NFL Playoffs - NFL Super Bowl - NFL Kickoff - NASCAR Daytona - March Madness - Ski championship - Olympics - Surf extravaganza - Surf Australia competition - Extreme sports battle"
"AD_SPOT","Campaign/Marketing","3","5","","0","This entity captures information that defines a type of media space that can be sold by a media publisher. It is used for pricing and order purposes to predefine rates and media spot placement specifications. It is also known as ""spot"".  Examples: - Page in a publication - Billboard - TV commercial "
"AD_SPOT_GROUP","Campaign/Marketing","2","2","","0","This is a grouping of ad spots."
"AD_SPOT_GROUP_XREF","Campaign/Marketing","2","2","","0","This provides for an ad to be in many groups and a group to contain many ads."
"AD_SPOT_PLACEMENT_XREF","Campaign/Marketing","4","2","","0","This entity links ads to their requested placement spots."
"AD_STATUS","Campaign/Marketing","4","2","","0","This entity defines the status of an ad over time."
"AD_STATUS_TYPE","Campaign/Marketing","2","1","","0","This entity defines the status of an ad.  Examples: - Active - Canceled - Under trial test"
"AD_SUBCATEGORY","Campaign/Marketing","2","1","","0","This code provides a second higher level of classification of advertisement."
"AD_SUBTYPE","Campaign/Marketing","3","2","","0","This is a classification of advertisement delivery types such as radio, TV, and web."
"AD_TRACKING_TYPE","Campaign/Marketing","2","2","","0","This entity captures information regarding the code assigned by the ad delivery system to enable tracking of ads."
"AD_TRAIT","Campaign/Marketing","3","2","","0","This entity captures information regarding the actual value describing the specific trait of a specific ad. An ad can have an unlimited number of ad traits."
"AFFILIATE_PRODUCT_AGREEMENT","Agreement/Account","0","0","OTHER_FINANCIAL_SERVICE","0","This is an agreement between the financial institution and a company to provide financial products to that company's employees at a discount."
"AFTER_TAX_CHARITABLE_CONTRIBUTION","Other","0","0","AFTER_TAX_DEDUCTION","0","An after-tax deduction for a charitable contribution, such as United Way."
"AFTER_TAX_DEDUCTION","Human Resources","1","1","ASSOCIATE_DEDUCTION","2","For an ASSOCIATE PAYROLL TRANSACTION, deductions from earnings reduce amounts paid to an ASSOCIATE. AFTER TAX DEDUCTIONs are types of reductions made from payroll payments after income taxes are calculated.  Examples of AFTER TAX DEDUCTIONs include: - Savings plan – after-tax contributions - Charita"
"AFTER_TAX_DEDUCTION_SUBTYPE","Human Resources","2","1","","0","This is a code for the types and descriptions of after-tax deductions.  Examples: - Savings plan – after-tax contributions - Charitable contributions (i.e., United Way)"
"AFTER_TAX_SAVINGS_PLAN","Other","0","0","AFTER_TAX_DEDUCTION","0","A savings plan that consists of deductions from an associate's pay on an after-tax basis."
"AGENCY_CREDIT_REPORT","Agreement/Account","16","0","PARTY_CREDIT_REPORT","0","This is the credit report containing data elements specific to an agency such as Experian, Equifax, and Trans-Union. It can also include information from other reports such as Dunn & Bradstreet, Moody's, and Standard & Poor's.  The attributes in this entity will vary by reporting agency. A few attri"
"AGENT_APPLICATION_DETAIL","Other","4","2","PARTY_APPLICATION","1","This entity is a subtype of PARTY APPLICATION when the subtype indicator, Party Application Role Cd, indicates a relationship between an agent and an application."
"AGENT_BROKER_AGREEMENT_DETAIL","Agreement/Account","2","1","PARTY_AGREEMENT","0","This entity is a subtype of PARTY AGREEMENT and defines additional information for the combination of party and agreement when the role code indicates an agent or a broker relation."
"AGENT_COMMISSION_OPTION_TYPE","Investment Management","2","1","","0","This minor entity translates the agent commission option code into a description.  Examples: - Monthly payment - Separate check - Include with base pay"
"AGENT_INDEPENDENCE_TYPE","Other","2","1","","0","The degree to which the agent is independent of the insurance company it represents such as employed, fully independent, and limited independence and tied."
"AGENT_PARTICIPATION_TYPE","Other","2","1","","0","This minor entity translates the participation type codes into a description.  Examples of participation types are: - Branch manager - Primary sales agent - Apprentice sales agent"
"AGENT_REPORT","Other","12","4","AGENT_APPLICATION_DETAIL","0","This entity is a subtype of AGENT APPLICATION DETAIL and provides additional information on the application, as noted by the agent."
"AGE_DETERMINATION_TYPE","Other","2","1","","0","A code for whether the age was determined based on the next birthdate or the last birthdate."
"AGREEMENT","Agreement/Account","22","102","","9","This entity contains information about arrangements between two or more parties where there are terms and conditions. It includes legally binding contracts and arrangements that are not legally binding."
"AGREEMENT_ABUSE","Agreement/Account","7","3","","0","This entity tracks abuses, such as first party fraud, second party fraud, or kiting that occur against an account over time. 'Kiting' is taking advantage of float. 'Float' is the time between the deposit of the check in a bank and payment."
"AGREEMENT_ACCESS_DEVICE","Agreement/Account","5","4","","0","This entity relates an ACCESS DEVICE such as a credit or debit card to an account. An account can have many devices associated with it (e.g., one each for husband and wife) and a device can be used with many accounts (e.g., savings and checking). If a noncustomer used a channel such as an ATM, then "
"AGREEMENT_ACCESS_DEVICE_FEATURE","Agreement/Account","7","2","","0","This entity identifies the conditions (features) that are valid for this ACCESS DEVICE for this account.  Examples of conditions are: - Card can only be used for types of purchase types explicitly stated (e.g., supplies) - Card is temporary and will expire in 90 days  The standard yearly fee of $20 "
"AGREEMENT_ACCESS_DEVICE_TYPE","Agreement/Account","2","1","","0","This minor entity describes the relation between AGREEMENT and ACCESS DEVICE such as 'is primary card for' or 'is secondary card for.'"
"AGREEMENT_AGREEMENT_CLASS_XREF","Agreement/Account","5","3","","0","This entity provides for an AGREEMENT to be classified many ways. The classification scheme and classification value together will identity the specific classification.  The business rule says that for a given classification scheme an agreement has only one value at one point-in-time (that is why th"
"AGREEMENT_AGREEMENT_GROUP","Agreement/Account","5","3","","3","This associative entity relates agreements with the agreement group."
"AGREEMENT_AGREEMENT_GROUP_SUBTYPE","Agreement/Account","2","1","","0","This is a code for the reason why the agreement is related to this group of agreements.  Examples: - The agreement is part of this securitization pool, - The securitization agreement resulted in this pool."
"AGREEMENT_APPLICATION","Agreement/Account","5","3","","0","This entity identifies relationships between agreements and applications."
"AGREEMENT_APPLICATION_ROLE","Agreement/Account","2","1","","0","This minor entity describes the relationship between an agreement and an application.  Examples: - Agreement created from application - Agreement supplemented by application - Agreement is collateral of application"
"AGREEMENT_ASSET","Agreement/Account","5","4","","2","This associative entity relates agreement to an asset along with the role that the asset has with the agreement. An example of a role of an asset to an agreement is a collateral role."
"AGREEMENT_ASSET_ROLE_SUBTYPE","Agreement/Account","2","1","","0","This minor entity contains the role of the asset to the contract and is used as a subtype code. Roles can include is collateral for, is insured asset for, or is subject of a lease."
"AGREEMENT_BALANCE_TYPE_METRIC","Agreement/Account","11","6","","0","This entity contains summary agreement metrics at the end of a time period (the time period to be determined by each financial institution using this model) for a particular balance category. Even though the information is technically derivable from events and should not be in a logical model, it is"
"AGREEMENT_CASE","Agreement/Account","2","2","","0","This entity relates a case to an agreement and allows a case to span agreements and an agreement to have many cases."
"AGREEMENT_CHANNEL","Agreement/Account","7","3","","0","This associative entity identifies the various roles that a channel plays with a specific account. Roles include 'belongs to,' or 'is managed by.'"
"AGREEMENT_CHANNEL_ROLE_TYPE","Agreement/Account","2","2","","0","This minor entity describes the role that the channel plays with the agreement.  Examples: - Belongs to - Is managed by - Was acquisition channel for - Is most used"
"AGREEMENT_CHANNEL_TYPE","Agreement/Account","5","3","","0","This entity identifies the channel types related to this agreement with a role such as: - Is managed by - Was acquisition channel for - Is most used - Is preferred"
