BACR_Question_ID,BACR_Section,Question_Short,FSDM_Domains,FSDM_Key_Entities,BVF_Data_Requirements,Profitability_Impact,Maturity_Level_Required_For_Profitability
113,Security and Privacy,"Are there documented information security policies that govern data collection, storage, transmissio",Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
114,Security and Privacy,"Does your analytic ecosystem  contain PII, such as Social Security Numbers (SSN); Private Health Inf",Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
115,Security and Privacy,Does the company have assigned data owners for all information assets who are actively involved in s,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
116,Security and Privacy,Are the data owners aware of everyone who has access to their data and where all copies of their dat,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
117,Security and Privacy,Are data contained in the anlaytics ecosystem classified or identified according to a standard Data ,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
118,Security and Privacy,Does the company apply the principle of  least privilege when granting access to sensitive data?,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
119,Security and Privacy,Does the company use role-based access controls (RBAC) within the analytics ecosystem?  Are they lev,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
120,Security and Privacy,Are they aware of all regulatory compliance requirements resulting from the types of data in the  ED,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
121,Security and Privacy,Have they ever conducted a risk assessment or audit of the analytic ecosystem to determine complianc,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
122,Security and Privacy,How many users have direct ad-hoc query access to the analytic ecosystem?   Is access always granted,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
123,Security and Privacy,How many external users or business partners have access to the analytic ecosystem?,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
124,Security and Privacy,Are  shared accounts used for accessing data in the analytics ecosystem that don’t provide accountab,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
125,Security and Privacy,Is there any logging of access to sensitive data?,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
126,Security and Privacy,Is there any process in place to monitor or review access log data?,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
127,Security and Privacy,"Does the company use a formal or recognized information security management system (ISMS) framework,",Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
128,Security and Privacy,Does the EDW support business-critical applications where system availability is important?,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
129,Security and Privacy,Are there any known risks regarding access to sensitive data that are not being adequately managed o,Party,PARTY; INDIVIDUAL; PARTY_IDENTIFICATION; CONTACT_POINT,KYC Data; Customer Demographics,Privacy constraints may limit customer-level profitability granularity,2
130,Data Quality,How would you describe the overall quality of your data?  How does your organization handle data qua,Party; Agreement; Event,PARTY; AGREEMENT; EVENT; FINANCIAL_TRANSACTION; PRODUCT,Single Customer View (Master Record); Transaction Data; Account Balances & Summaries,Data quality directly affects profitability calculation accuracy,3
131,Data Quality,Are data quality feedback loops in place to report quality issues identifyied in the analytics ecosy,Party; Agreement; Event,PARTY; AGREEMENT; EVENT; FINANCIAL_TRANSACTION; PRODUCT,Single Customer View (Master Record); Transaction Data; Account Balances & Summaries,Data quality directly affects profitability calculation accuracy,3
132,Data Quality,Is data quality measured and reported to the analytics ecosystem users at least daily so that they k,Party; Agreement; Event,PARTY; AGREEMENT; EVENT; FINANCIAL_TRANSACTION; PRODUCT,Single Customer View (Master Record); Transaction Data; Account Balances & Summaries,Data quality directly affects profitability calculation accuracy,3
133,Data Quality,Is the data quality in the analytics ecosystem reported to senior management if it exceeds specified,Party; Agreement; Event,PARTY; AGREEMENT; EVENT; FINANCIAL_TRANSACTION; PRODUCT,Single Customer View (Master Record); Transaction Data; Account Balances & Summaries,Data quality directly affects profitability calculation accuracy,3
134,Data Quality,Are integration issues (where master data from one system doesn't not full match another) reported f,Party; Agreement; Event,PARTY; AGREEMENT; EVENT; FINANCIAL_TRANSACTION; PRODUCT,Single Customer View (Master Record); Transaction Data; Account Balances & Summaries,Data quality directly affects profitability calculation accuracy,3
135,Data Coverage,How much of your business leverages data for analytics today?,Party; Agreement; Event; Product,PARTY; AGREEMENT; EVENT; PRODUCT; FINANCIAL_TRANSACTION,Transaction Data; Account Balances & Summaries; Product Pricing - Interest Rates; Product Pricing - Fee Rates,Gaps in data coverage = gaps in profitability measures,3
136,Data Coverage,"Is data available outside of functional applications?  (In other words, can business users access an",Party; Agreement; Event; Product,PARTY; AGREEMENT; EVENT; PRODUCT; FINANCIAL_TRANSACTION,Transaction Data; Account Balances & Summaries; Product Pricing - Interest Rates; Product Pricing - Fee Rates,Gaps in data coverage = gaps in profitability measures,3
