Question_ID,Category,Section,Question_Text,Emerging,Developing,Practicing,Innovating,Leading,Roles,Industries,Business_Functions,Is_Financial,Is_TBA,Review_Types
14,Business,Roadmap,How are executives kept informed of priority projects and their status?,There is no project status reporting capability,Project sponsors are updated monthly on their specific projects,A company-wide program office provides weekly or monthly reports on the status of all analytics projects,Some projects are delivered with project tracking tools that provide daily status updates and tracking,A company-wide daily project status dashboard provides overview information with drill-down capabilities showing detailed project status based on project tracking tools,Business Sponsor; Architect; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
15,Business,Roadmap,How involved are senior executives involved in the review and resolution of cross-functional issues? How are they involved in the prioritization and budgeting of projects? Is there an executive champion assigned to critical projects or programs?,"There is no executive council or forum responsible for the vision, enterprise program or project execution. There are no standard processes for resolving cross-department conflicts",An Executive Council or Steering Committee has been formed to direct and oversee a critical project or program. An escalation process for resolution of critical issues is put in place,"An Executive Steering committee regularly sets direction, resolves escalated program conflicts or issues and communicates updates","An Executive Steering Committee oversees direction and steers the analytics program for the company, promoting alignment and innovation",An Executive Steering Committee sets shared direction and champions projects leading to new insights,Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
16,Business,Funding,"How are data and analytic needs reviewed, prioritized and budgeted?",Discovery is not treated separately from projects.  Executives not involved. Failures are covered up.,Analytics Discovery is funded as phase 1 of planned analytics projects,Some discovery projects are funded at business unit level.  Executives embarrassed by failures,Programmatic approach to discovery (e.g. A/B testing etc.) appears in some business units.  Executives of those units involved in prioritisation,Organisation-wide adoption of analytics discovery with executives involved in both successes and failures.  Corporate-wide  prioritisation and funding controls,Business Sponsor; Business Analyst; Data Analyst/Modeller/Scientist; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
17,Business,Funding,Is an approved business case required for analytics projects?,Inconsistent project prioritization and funding processes,High level discussions to prioritize and determine selected project funding,Repeatable prioritisation and funding process with high level business cases,Prioritization and funding processed work well and provide path for new ideas.  Business case defines and tracks metrics,Prioritisation and funding promote operational improvements and strategic efforts.  Metrics effectively gathering and analysed to determine business case success,Business Sponsor; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
18,Business,Funding,"Describe the process for identifying and prioritizing projects.  Describe the criteria used when prioritizing (i.e. Complexity, Costs, Projected Benefits, Prerequisite Needs, Resource Needs, etc.). How far out does the planning go?",Inconsistent project prioritization and funding processes,High level discussions to prioritize and determine selected project funding,Repeatable prioritization and funding process exists,Prioritization and funding processes work well and provide path for operational improvements and new ideas,"Prioritization and funding promote discovery efforts, operational improvements and the strategic vision",Business Sponsor; Business Analyst; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
19,Business,Funding,"Do all projects fall into this process, or are there different processes based on the project’s estimated cost, resource needs, or business function?",Little differentiation between how projects supporting operations and the strategic vision are funded or prioritized,Business Cases are required for strategic or large value projects.,"All projects require business cases, with the level of detail appropriate for the size of the investment.  Different paths for approval for different project types (discovery, strategic, operational, improvement etc.) may start to appear","Differentiated paths exist for discovery, operational and strategic projects.  All project types require some financial justification.  Creative funding ideas encourage continuous improvement.",Prioritization promotes and funds discovery projects quickly and differently from operational needs.  A consistent path exists for identifying and promoting strategic projects,Business Sponsor; Business Analyst; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
20,Business,Funding,How are potential projects estimated or qualified in preparation for the prioritization or funding process?,Estimates are prepared based on gut feel.,Prior historical outcomes are used to estimate value of new discovery projects,"Discovery projects are not estimated.  Operational and strategic projects are, based on historical proof points or estimated business value","Discovery projects are not estimated.  Operational and strategic projects are, based on reliable financial modelling.",Discovery projects (e.g. A/B testing) are used to provide qualified estimates for larger projects,Business Sponsor; Business Analyst; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
21,Business,Funding,"For those projects that do not qualify for prioritization and funding process, how are resources allocated and tracked? How does the business fund analytic discovery?",Annual headcount budget allocated to cover all non-project activities.  No value tracking is done for this time,Annual headcount budget allocated to cover all non-project activities.  Effort is sometimes tracked and reported against task,Annual headcount budget allocated to cover all non-project activities.  Effort is consistently tracked and reported against task assigned,Investment pool is allocated to fund small analytics activities. Business value statements are submitted and reported for all non-project activities.  Resources are assigned to highest business value first,Central pool of investment funds and resources exists for small project activity.  Resoucres are allocated based on business value which is tracked and reported on,Business Sponsor; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
22,Business,Funding,"What is your baseline for projecting data and analytic funding and resource demand? Do you start out with an annual budget that is driven by last year's budget (or example, plus or minus 5%)?  What is included in the funding of data and analytic initiatives (i.e. architecture, technology, business and IT resources, contractors, etc.)?",Annual headcount budget allocated to cover all non-project activities.  No value tracking is done for this time,Annual headcount budget allocated to cover all non-project activities.  Effort is sometimes tracked and reported against task,Annual headcount budget allocated to cover all non-project activities.  Effort is consistently tracked and reported against task assigned,Investment pool is allocated to fund small analytics activities. Business value statements are submitted and reported for all non-project activities.  Resources are assigned to highest business value first,Central pool of investment funds and resources exists for small project activity.  Resources are allocated based on business value which is tracked and reported on,Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
23,Business,Funding,Who is the final decision maker for funding and prioritization?   Is there an executive level position that provides input for data and analytic needs and priorities to the final decision maker?,"For larger projects, decisions to fund or proceed are made by a single sponsor",Different business areas are starting to collaborate and partner when funding initiatives,"A standard prioritization process, shared by business and IT, exists.   Thresholds determine when a project or system request requires formal funding and prioritisation",Prioritization and funding processes work well and provide path for operational improvements and new ideas.  Thresholds effectively promote discovert and completion of smaller projects whilst requiring estimating and design for projects with cross-organisational impacts,Prioritization promotes and funds discovery projects quickly and differently from operational needs.  A consistent path exists for identifying and promoting strategic projects,Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
24,Business,Funding,"Where in your organisation do Data Scientists sit?  Are they in departmental / line of business roles, or in IT, or in a central organisational structure?",There are no Data Scientists,Data Scientists are in IT,Data Scientists are in line of business roles and no co-operation exists between groups,Data Scientists are in line of business groups but there is formal co-ordination and co-operation between groups,Central pool of Data Scientists and some resources exists for small project activity.  Resources are allocated based on business value which is tracked and reported on,Business Sponsor; Data Analyst/Modeller/Scientist; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
25,Business,Funding,"IIs there a pool of IT or analytic development resources shared across the business units? Are there different IT or analytic teams for applications and support?  (For example, are dataa & analytic teams organized to support specific tools or enterprise applications, like SAP?).  What about other cross functional teams, such as a BICC or a Data Management or Data Governance team?",Annual headcount budget allocated to cover all IT activities.  No value tracking is done for this time,Annual headcount budget allocated to support.  Effort is sometimes tracked and reported against task,Annual headcount budget allocated to cover all IT activities.  Effort is consistently tracked and reported against task assigned,Investment pool is allocated to fund design and architecture of new projects. Business value statements are submitted and reported for all activities.  Resoures are assigned to highest business value first,Central pool of investment funds and resources exists for small project activity.  Resoures are allocated based on business value which is tracked and reported on,Business Sponsor; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
26,Business,Funding,"How are corporate projects charged back to the business units?  Do you have charge-back mechanism for CPU usage, I/O, or data storage?",No Charge-back is done,"Charge-back is done based on overall system operational cost, split by the number of departments using the system","Charge-back is done based on a basic IT metric such as CPU, # of users, or Storage space","Charge-back partially done on the basis of all IT resources consumed, with separate metrics driving different cost bases","Charge-back consistently done on the basis of all IT resources consumed, with separate metrics driving different cost bases",Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
27,Business,Funding,Are business cases required to allocate funded?  Are business cases initiated by the business or IT?  What criteria are required for a business case to be approved?,Estimates are prepared based on gut feel and generated by either business or IT.  No formal standards required.  No central lodgement and tracking,"Business Cases are standardised in requirements, but approved at business unit level inconsistently and neither centrally lodged nor tracked",Business Case submission and approval processes are standardised but slow.  Tracking is partial or incomplete.,Business Case submission and approval process is supported by process automation and can be done rapidly if required.,Business Case submission and approval process is supported by process automation and can be done rapidly if required.,Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
28,Business,Funding,How do you know when it is time to change your solutions or divest of the solutions you have? How do you balance investing and divesting? How is this planned for in your budget?,No end-of-life planning is done,Funds are requested based on a case-by-case basis when assets fail or emergency replacements are required,Systems with known end-of-life issues are planned to be replaced in the annual budget,"A systems review is conducted annually to determine which systems need replacement, based on a fixed pool of allocated funds","A portfolio approach is used with funding assigned to cover discovery, deployment, improvements, operations and asset retirement",Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
29,Business,Funding,Who has the CAPEX and resource budget for IT? Who is the decision maker on data and analytic investment?,Analytics are funded from resource headcount rather than as projects.  IT owns the CAPEX and IT resource budget,Analytics are funded by business sources.  IT owns the CAPEX and IT resource budget,Analytics are funded from business sources.  IT owns a portion of the CAPEX budget for infrastructure but business can fund new IT capability as part of business cases,Funds are distributed based on common agreement amongst business and IT executives on an annual basis.  Project funding is approved by business case,"Discovery analytics are separately funded.  General investment in split between IT for infrastructure and operations, and business for development of new capability",Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
30,Business,Funding,"Are analytics, IT, or business oriented projects separately or independently funded?",All projects funded using the same ad hoc process,All projects funded using the same structured process,Business and IT-driven projects are funded from separate sources.,Some or most IT projects are linked and funded together with a relevant business project that requires the capability,"Discovery projects are funded separately, whilst Business and IT projects are funded based on business strategy alignment",Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
31,Business,Funding,"Do you have a long term roadmap that you follow that incorporates the major initiatives over the next few years?  If so, how is that managed?",There is no long term roadmap. Individual projects are approved independently and without strategic planning,Major operational systems have long term roadmaps but analytics systems are not covered,"Business and IT stakeholders come together to develop and approve a strategic program over at least 1 year timelines, including analytics systems",Program Management effectively co-ordinates the execution of projects within a strategic roadmap covering operational and analytics systems,Program management manages to a strategic vision but delivers in adaptable and agile ways to changing business needs,Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
32,Business,Funding,How are the milestones between different projects and initiatives coordinated?,Managing across projects or initiatives is difficult.  Projects often having competing needs and overlapping objectives,A process of managing across projects has been defined for critical programs,Program management standards and processes are leveraged to drive alignment and more effectively leverage resources across projects,Proactive program management is done to keep related projects aligned and alert the team of other issues or changes that may impact program delivery,"The Program Management function is seen as best in the industry, regularly contributing to efficient business change",Business Sponsor; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review
33,Business,ROI,How does the organisation track value delivered from project investments?,No tracking is performed.,"Some larger projects are assessed for success, but little attention is paid from lessons learned.",Projects are regularly assessed for success and these lessons are incorporated into corporate memory and process improvements,"Smaller projects are performed faster and more regularly, providing early feedback onto project success and allowing failing projects to be terminated quickly",Large initiatives are delivered in small chunks to allow for faster failure.  Smaller discovery initiatives are implemented to predict future value.,Business Sponsor; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
34,Business,ROI,How are the ROI numbers in a business justification (e.g. Business Case)  estimated and vetted?,No ROI numbers are required,ROI numbers are estimated.  Larger projects are sometimes subjected to financial review of the ROI numbers by an independent team.,ROI numbers are estimated for all projects.  A consistent set of parameters and values is used in all business cases. ROI numbers for larger projects are required to be independently vetted (e.g. by Finance or similar). s,A consistent set of parameters and values (and sometimes a standard financial model) is used.  The estimated cost savings or revenue improvements are required to be adjusted in the sponsor's budget for the following year if the project is approved.,A consistent financial model for project ROI is used.  The financial model is improved on a regular basis to better predict outcomes.  Discovery projects are approved separately for blue-sky analytics concepts.,Business Sponsor; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
35,Business,ROI,How does the organization monitor and measure the effectiveness (business value) of data and analytics to a business process?,,,,,,Business Sponsor; Program & Project Management; C-Level,,,False,True,Data Warehouse Maturity Review
36,Business,ROI,"Does each business case contain a measurement plan, which includes determining baseline metrics against which improvements can be projected (and presumably measured)?  How do you know if or when business case projections are achieved?  Is this something that is regularly measured after a project is implemented?",No tracking of results is done,Some projects contain measurement plans and are assessed by the Project Manager approx. 3-6 months after completion,A corporate mandate for measurement plans and tracking results of business cases exists but it is incompletely complied with,Measurement plans exist and tracking the results of business cases is done once at a specified point after project completion,Measurement plans exist and tracking the results of business cases is automated and continuously updated.  Deployment methods allow for easy tracking of change,Business Sponsor; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
37,Business,ROI,"Describe the process of tracking and reporting on actual results. Are baseline metrics established consistent with the business case? Does the ROI analysis include projections of investment costs? Does the ROI analysis include projections of ongoing operating costs such as additional IT maintenance feed, new headcount, etc.?",No tracking of results is done,The project manager is responsible for results evaluation which is performed manually,A central team (either corporately or per business unit) records the approved ROI metrics and collects data from the project manager to assess success,A central team (either corporately or per business unit) records the approved ROI metrics and performs a monthly assessment of success to issue a report,A central team (either corporately or per business unit) enters the approved ROI metrics into an automated system that tracks project outcomes daily,Business Sponsor; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
38,Business,ROI,"Do projects consider business and IT costs, needs and priorities?  Which ones get higher exposure/priority?","Business value is the only focus.  Costs are considered, but constraints are not.",Larger projects get executive attention but still do not consider constraints or non-financial measures,"Business and IT costs are included, and some sense of resource constraints is sometimes included.  Senior executives approve all medium to large projects","Resource and capacity constraints become commonly included in decision making.  Senior executives set thresholds and capacities, which are then applied by mid management for smaller projects","Prioritisation in a scarce environment becomes the key driver for project prioritization.  Business and IT constraints include ability to train staff in new procedures, change management capacity and other factors are regularly considered",Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
39,Business,ROI,Are business cases for IT or other operational investments required?,No business cases are required for IT or operational investments,Infrastructure investments are assessed in the same process as business-initiated changes,"Infrastructure investments are assessed separately to business-initiated change, within an assigned funding pool",Business Cases for Infrastructure investments are required but assessed separately to business-initiated change,"A portfolio approach is used to balance funding across infrastructure, projects and discovery activities to enable all types of projects to progress.",Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
40,Business,ROI,Who is accountable for achievement of ROI goals? What corrective actions are taken if results fall short of projected goals?  Who is responsible for initiating and implementing the corrective actions?,No tracking of results is done,The project manager is responsible for the achievement of the ROI Goals.  No corrective actions are taken if the ROI is not delivered,The project sponsor is responsible for the achievement of the ROI goals.  A review is conducted if the ROI goals are not met.  Corrective actions are assigned to the Project Sponsor by the steering committee to resolve the issues,"The project sponsor is responsible for the achievement of ROI, and a standards Post Implementation Review is conducted to learn for future projects.",ROI achievement is consistently measured and used to assess management effectiveness,Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,False,Data Warehouse Maturity Review
41,Business,ROI,"Are metrics common across projects, or specific to a single project? How are users educated about ROI, the metrics, and the process?",,,,,,Business Sponsor; IT Management; Program & Project Management,,,False,True,Data Warehouse Maturity Review
42,Business,ROI,When and how is the business case process initiated?  What does the business case consider?,,,,,,Business Sponsor; IT Management; Program & Project Management; C-Level,,,False,True,Data Warehouse Maturity Review
43,Information,Summary,Do the business users have access to the data they need to complete their reporting and analysis?,Some required data not available for review or analysis,Data available for operational needs but only through transactional systems,Business has access to all operational data needed and some data for exploration or discovery,Data coverage includes all business functions and needs,Analytics dta avilable for all business functions and related needs,Business Sponsor; Business Analyst; Data Analyst/Modeller/Scientist; Program & Project Management; Power User; End User,,,False,False,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review
44,Information,Summary,"Have you considered the impact of “big data” on your data integration; e.g., are you able to link social media data to your Customer or Product master?","No ""big data"" is captured",Big Data is maintained separately from operational data and cannot be integrated,Ad hoc integration using approximation techniques are in place on an as-needs basis,Specific matching keys (e.g. credit card or customer name) allow for moderate levels of matching,"Specific programs are in place (e.g. self registration, cookies, customer details matching) to increase the ability to link between Big Data sources and operational master data",Business Sponsor; Data Analyst/Modeller/Scientist; Architect; IT Management,,,False,False,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review
45,Information,Summary,How effective are the security and privacy management policies and processes of your organisation?,Security and Privacy polies are outdated or insufficient,Security and privacy needs and regulartory requirements are understood and appropriate management is being initiated,Security and privacy policies have been implemented to meet the security and regulatory requirements of the enterprise,"A comprehensive security management process is in place for the enterprise. Security and Privacy policies are solid, allowing easy access to those authorised, but preventing access to others",There is a continuous process improvement approach to security management with an understanding that data sources and types are continuously evolving,Business Sponsor; IT Management; Program & Project Management,,,False,False,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review
46,Information,Summary,How often is data updated?  Are there certain data only available or updated daily or weekly?,Data for analysis is updated on a daily basis and may be out of date when analysed,Data is kept current ofr targetted business needs though some challenges remain,Data currency is acceptable,Data is current for discovery and production purposes,Data is up to date with future predicted data effecively leveraged,Data Analyst/Modeller/Scientist; Architect; IT Management,,,False,False,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review
47,Information,Summary,Is the data in the analytics ecosystem of sufficient quality to meet most business analytics needs?,Data Quality is not measured and is known to be poor,There are some data quality processes in place - usually manual and without data profiling,"Data quality is acceptable, with data stewardship programs in place",Data quality is maintained and managed to standards and metrics,Data quality is effectively managed with meaningful metrics for accountability,Business Sponsor; Business Analyst; Data Analyst/Modeller/Scientist; Architect; IT Management; Program & Project Management; Power User; End User,,,False,False,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review
48,Information,Summary,"How much historical data is immediately available (not archived) for online analysis?  Does the amount of online historical data support analysis requirements such as seasonal, current versus prior period, and period + 1 (13, 25, or 37 month) for trend identification?",Historical data is difficult to access,Some historical data is available,Defined processes exist for sourcing and access to current and historical data,Historical data is available for 1-2 years and archived (and recoverable) beyond that.  Sometimes summary historical data is always available.,"Historical data is available for long periods of time but on slower response, lower cost platforms",IT Management,,,False,False,Big Data Capability Review; Data Warehouse Maturity Review; Ecosystem Architecture Review; AI and Machine Learning Review
49,Information,Strategy,Does your organisation have a defined information or data strategy.  Is that strategy capable of dealing with big data as well as traditional data sources?,,,,,,Business Sponsor; Business Analyst; Data Analyst/Modeller/Scientist; IT Management,,,False,True,Data Warehouse Maturity Review; Ecosystem Architecture Review
50,Information,Strategy,Do you operate with an underlying principle that data is a corporate asset?  How is this manifested within the organization?,,,,,,Business Sponsor; Business Analyst; Data Analyst/Modeller/Scientist; IT Management,,,False,True,Data Warehouse Maturity Review; Ecosystem Architecture Review
51,Information,Roadmap,Do you have a planned sequence to load new sources of data?  Is this sequence well known and agreed by all parties?,,,,,,Business Sponsor; Architect; IT Management; Program & Project Management,,,False,True,Data Warehouse Maturity Review; Ecosystem Architecture Review
52,Information,Architecture,"Is there an information architecture and corresponding data model(s) that guides where each different type of data should be stored across a range of information and analytics platforms (e.g. IDW, Data Lake, Data Labs etc.)?  Are there data model(s) that allows for integration across analytics platforms?",A consistent data model and/ or information architecture does not exist,A draft information architecture and/or data model exists and is available to show high level data storage structrures and locations,An information architecture and/or data model is consistently leveraged when developing analytics or applications,An information architecture and/or data model is leveraged and referenced for consistency and to test the impact of new ideas,An information architecture and/or data model enables and supports current business needs whilst allowing the business to test new concepts and changing business needs,Business Sponsor; Data Analyst/Modeller/Scientist; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review; Ecosystem Architecture Review
53,Information,Architecture,Can data and analytics users easily find out where data is stored and how it is structured?,More time is spent finding and understanding and preparing data than in analysing it for business purposes,"Data is consolidated into smaller numbers of data stores, but these are still not well documented",A unified view of data is provided for most analytics purposes,"Metadata repositories provide users useful information on the location, structure and data quality concerns of most analytics data","Analytics data is logically structured, located and organised and is supported by effective business-language search tools across platforms",Business Sponsor; Data Analyst/Modeller/Scientist; Architect; IT Management; Program & Project Management; Power User; End User,,,False,False,Data Warehouse Maturity Review; Ecosystem Architecture Review
54,Information,Architecture,"Is data stored for analytics in a logically integrated manner, even if spread across multiple platforms?",Data is acquired and integrated in a silo fashion by project or application or data mart,"Data is acquired once and shared throughout the enterprise, eliminating some redundancy",Management sees cross-functional information sharing as a way to scale up and prmoote enterprise-wide initiatives,The SDLC contains a process for addressing data management with an emphasis on acquiring data and integrating it using a standard approach,Industry data interchange standards are in place facilitating data integration within the enterprise and with B2B partners.  Data assets are exploited across the enterprise,Business Sponsor; Data Analyst/Modeller/Scientist; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review; Ecosystem Architecture Review
55,Information,Architecture,Is relational data stored in an integrated data model of some type?  What type?,Data modelling is not consistently done,Data models exist for different business areas or functions,A data model is available that represents the business,Data models are leveraged for consistency and used to test the impact of new ideas,Data models enable and support current business whilst allowing the business to test new concepts,Business Sponsor; Data Analyst/Modeller/Scientist; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review; Ecosystem Architecture Review
56,Information,Architecture,"Is non-relational multi-structured data stored in an organised, formatted, logical manner or stored in source format for later integration?",Non-relational data is not loaded,Occassional use cases for multi-structured data are emerging but are handled as one-off projects without standards or integration,A platform for multi-structured data exists but is not architecture or controlled,Multi-structured data is organised and formatted in a logical manner but not integrated with other analytics data types,Data is integrated across the analytic ecosystem regardless of data type.  Employing loosely coupled or tightly coupled approaches appropriate to the data types and use cases,Business Sponsor; Data Analyst/Modeller/Scientist; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review; Ecosystem Architecture Review
57,Information,Architecture,"Can anyone load data into any analytic ecosystem, or only into data lab areas?  If anyone can load data anywhere, how is metadata captured and architectural control exerted?",,,,,,Business Sponsor; Data Analyst/Modeller/Scientist; Architect; Data Engineer; IT Management; Program & Project Management; Power User,,,False,True,Data Warehouse Maturity Review; Ecosystem Architecture Review
58,Information,Master Data Management,"How is reference and master data managed?  Is this centralised and shared, or maintained by individual systems",There is little consideration of reference or master data across the organisation,Some reference and master data domains are identified,Reference and Master data is consistently defined with processes in place to ensure capture across applications,Reference and Master data is manged consistently and in a consolidated way across the enterprise,Reference and Master data enables and supports corporate changes,Business Sponsor; Business Analyst; Data Analyst/Modeller/Scientist; Architect; IT Management; Program & Project Management,,,False,False,Data Warehouse Maturity Review; Ecosystem Architecture Review
59,Information,Master Data Management,"How do you define reference and master data within your major transactional applications?  Within your data warehouse, data marts, or data lakes?",There is an application-centric approach to reference and master data.  Master data is not defined across the organisation,"Most applications and data repositories define master data locally, causing redundancy and reporting inconsistencies",There is a clear vision for master data management that demonstrates how master data facilitiates strategic objectives,"There is a formalized orgasniation associated with the Master Data program including defined roles and responsibilities, clearly defined metrics and an iterative learning cycle",Reference and master data initiatives are taken in support of the strategic business initiatives and incorporated into the projects,Data Analyst/Modeller/Scientist; Architect,,,False,False,Data Warehouse Maturity Review; Ecosystem Architecture Review
