Rank,Capability,BVF_Area,BVF_Group,BVF_Priority_Score,Current_Maturity,Target_Maturity,Maturity_Gap,Readiness_Factor,Enhanced_Priority_Score,Implementation_Tier,Is_Profitability_Critical,BACR_Question_Count,Data_Requirements_Count
46,Liquidity Management,Finance & Peformance Management,Treasury Mgmt & Insight,3.1,2,4,2,1.0,6.98,Tier 2 - High,True,11,31
47,"Reconciliation, Validation & Adjustments",Finance & Peformance Management,Financial Accounting,3.0,2,4,2,1.0,6.75,Tier 2 - High,True,1,30
48,Sales Reporting,Finance & Peformance Management,MIS & Reporting,2.9,2,4,2,1.0,6.52,Tier 2 - High,True,4,29
49,Omni Channel Campaign Management,Marketing and Customer Experience,Define & Deploy Business Rules,3.9,2,4,2,1.0,5.85,Tier 2 - High,False,1,39
50,Strategy Monitoring,Marketing and Customer Experience,Reporting & Continuous Improvement,3.9,2,4,2,1.0,5.85,Tier 2 - High,False,1,39
51,NPS MI & Drill Down,Marketing and Customer Experience,Reporting & Continuous Improvement,3.6,2,4,2,1.0,5.4,Tier 2 - High,False,1,36
52,Personalisation,Marketing and Customer Experience,Define & Deploy Business Rules,3.1,2,4,2,1.0,4.65,Tier 3 - Medium,False,2,31
53,Predictive Models,Marketing and Customer Experience,Customer Insight,3.0,2,4,2,1.0,4.5,Tier 3 - Medium,False,2,30
54,Channel Coverage,Marketing and Customer Experience,Delivery of Insight to Channels,3.0,2,4,2,1.0,4.5,Tier 3 - Medium,False,1,30
55,FX & Trading Book Management,Finance & Peformance Management,Treasury Mgmt & Insight,2.0,2,4,2,1.0,4.5,Tier 3 - Medium,True,1,20
56,Customer Segmentation,Marketing and Customer Experience,Customer Insight,2.9,2,4,2,1.0,4.35,Tier 3 - Medium,False,4,29
57,Single Interaction View of Customer,Marketing and Customer Experience,Delivery of Insight to Channels,2.3,3,5,2,1.2,4.14,Tier 3 - Medium,False,3,23
58,Marketing Attribution MI across all channels,Marketing and Customer Experience,Reporting & Continuous Improvement,2.6,2,4,2,1.0,3.9,Tier 3 - Medium,False,1,26
59,Statutory Financial Reporting,Finance & Peformance Management,MIS & Reporting,1.7,2,4,2,1.0,3.82,Tier 3 - Medium,True,3,17
60,Funds Transfer Pricing,Finance & Peformance Management,Treasury Mgmt & Insight,1.4,2,5,3,1.0,3.67,Tier 3 - Medium,True,1,14
61,Real Time Omni-Channel  Integration,Marketing and Customer Experience,Delivery of Insight to Channels,2.4,2,4,2,1.0,3.6,Tier 3 - Medium,False,1,24
62,Campaign Business Cases,Marketing and Customer Experience,Define & Deploy Business Rules,2.1,2,4,2,1.0,3.15,Tier 3 - Medium,False,1,21
63,Attrition Root Cause Analysis MI,Marketing and Customer Experience,Reporting & Continuous Improvement,2.0,2,4,2,1.0,3.0,Tier 3 - Medium,False,2,20
64,Scope of Contact,Marketing and Customer Experience,Define & Deploy Business Rules,2.0,2,4,2,1.0,3.0,Tier 3 - Medium,False,1,20
65,Channel Support & Engagement,Marketing and Customer Experience,Delivery of Insight to Channels,1.9,2,4,2,1.0,2.85,Tier 4 - Low,False,4,19
66,Contextual Decisioning,Marketing and Customer Experience,Delivery of Insight to Channels,1.8,2,4,2,1.0,2.7,Tier 4 - Low,False,1,18
67,Lead & Contact Management,Marketing and Customer Experience,Delivery of Insight to Channels,1.6,2,4,2,1.0,2.4,Tier 4 - Low,False,1,16
68,Direct Customer Access to Information Products,Marketing and Customer Experience,Delivery of Insight to Channels,1.5,2,4,2,1.0,2.25,Tier 4 - Low,False,1,15
69,Multi-Step Dialogue,Marketing and Customer Experience,Define & Deploy Business Rules,1.4,2,4,2,1.0,2.1,Tier 4 - Low,False,1,14
70,Campaign ROI Reporting by Channel,Marketing and Customer Experience,Reporting & Continuous Improvement,1.2,2,4,2,1.0,1.8,Tier 4 - Low,False,1,12
71,Fixed Assets Management,Finance & Peformance Management,Financial Accounting,1.1,2,4,2,1.0,1.65,Tier 4 - Low,False,5,11
72,Interest Rate Management,Finance & Peformance Management,Treasury Mgmt & Insight,0.7,2,4,2,1.0,1.57,Tier 4 - Low,True,1,7
73,Customer Managed Relationships,Marketing and Customer Experience,Customer Insight,1.0,2,4,2,1.0,1.5,Tier 4 - Low,False,1,10
74,Third Party Settlement Controls,Finance & Peformance Management,Financial Accounting,1.0,2,4,2,1.0,1.5,Tier 4 - Low,False,2,10
75,Financial Consolidation,Finance & Peformance Management,Financial Accounting,0.6,2,4,2,1.0,1.35,Tier 4 - Low,True,3,6
76,"GL, AP, HR, Expense Analytics & Optimisation",Finance & Peformance Management,Financial Planning & Controlling,0.6,2,4,2,1.0,1.35,Tier 4 - Low,True,1,6
77,Transaction Classification,Marketing and Customer Experience,Customer Insight,0.5,3,5,2,1.2,1.35,Tier 4 - Low,True,1,5
