Data_Requirement,FSDM_Subject_Area,Capabilities_Using,Capability_Count
External Prospect Data / Lists,Party,"Event Detection; Customer, Product & Channel  insight; Insight Led Customer Strategy; Big Data Analytics; Scope of Contact; Omni Channel Campaign Management; Personalisation; Rapid Prototyping supports Test & Learn; Next Best Action Arbitration; Earned, Paid & Owned media analysis; Application and New Business Written; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Credit Risk Based Pricing Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Performance Management and KPIs",30
External Data - Social Media Data,Party,"Predictive Models; Event Detection; Customer, Product & Channel  insight; Insight Led Customer Strategy; Customer Segmentation; Big Data Analytics; Customer Managed Relationships; Personalisation; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Strategy (Rules) Performance MI; Performance Management and KPIs; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",39
External Data - Bureau data,Party,"Event Detection; Customer, Product & Channel  insight; Big Data Analytics; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Regulatory & Compliance Reporting",42
External Data - Credit Rating,Party,"Conduct  Risk Monitoring; Big Data Analytics; Scope of Contact; Direct Customer Access to Information Products; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards",46
"External Economic Data (E.g. Property Prices, Salary)",Party,"Insight Led Customer Strategy; Big Data Analytics; Strategy Monitoring; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Strategy (Rules) Performance MI; Financial Budgeting, Planning & Forecasting; Capital Planning and Management",29
Master & Reference Data - staff / colleague,Party,"Conduct  Risk Monitoring; Big Data Analytics; Personalisation; Regulatory & Audit Compliance; Real Time Omni-Channel  Integration; Recycle Unused Leads into alternative channels; Lead & Contact Management; Channel Support & Engagement; Attrition Root Cause Analysis MI; Application and New Business Written; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Pre-Default Transaction Analytics; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Regulatory Reporting and Information Sharing; Fixed Assets Management; Activity Based Costing; Profitability Modelling; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",40
"Sales and Performance Forecasts, Targets & KPIs",Party,"Customer, Product & Channel  insight; Conduct  Risk Monitoring; Insight Led Customer Strategy; Big Data Analytics; Scope of Contact; Campaign Business Cases; Regulatory & Audit Compliance; Channel Coverage; Next Best Action Arbitration; Recycle Unused Leads into alternative channels; Channel Support & Engagement; Campaign ROI Reporting by Channel; Strategy Monitoring; Complaints Root Cause Analysis MI; Attrition Root Cause Analysis MI; Application and New Business Written; Credit Risk Based Pricing Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",41
HR Performance Data,Party,"Conduct  Risk Monitoring; Big Data Analytics; Regulatory & Audit Compliance; Lead & Contact Management; Channel Support & Engagement; Strategy Monitoring; Attrition Root Cause Analysis MI; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; Model Performance Analytics; Regulatory Reporting and Information Sharing; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Regulatory & Compliance Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",28
Customer Core Contact Details,Location,"Customer, Product & Channel  insight; Big Data Analytics; Scope of Contact; Omni Channel Campaign Management; Multi-Step Dialogue; Next Best Action Arbitration; Recycle Unused Leads into alternative channels; Direct Customer Access to Information Products; Strategy Monitoring; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Business Rules Directory; Dynamic Datastore; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Regulatory & Compliance Reporting",31
Master & Reference Data - geography / location,Location,"Customer, Product & Channel  insight; Big Data Analytics; Rapid Prototyping supports Test & Learn; Channel Support & Engagement; Direct Customer Access to Information Products; NPS MI & Drill Down; Application and New Business Written; Single Customer View from a Risk Perspective; Policy, Forensics and Underwriter Rules; Can’t Pay, Won’t Pay and Collusion; Roll and Rehabilitation Rates; Capital Management (Planning and Allocation); Capital Consumption; Risk Appetite; Pre-Default Transaction Analytics; Credit Risk Scoring (Underwriting Likelihood Model); Credit Risk Expected Loss Model; Credit Risk Underwriting/Monitoring Strategy Model; Credit Risk Capital, CVaR Modelling; Credit Risk Based Pricing Model; Collection Score (Likelihood Model); Expected Collection Amount; Collection Strategy Model; Fraud and Money Laundering Likelihood Model; Fraud and Money Laundering Loss Modelling; Fraud and Money Laundering Strategy Modelling; Operational Risk / Cybercrime Likelihood; Operational Risk / Cybercrime Expected Loss; Operational Risk / Cybercrime Strategy Model; Operational Risk Capital and OPVaR; Market & Liquidity Risk Likelihood Modelling; Market & Liquidity Risk Strategy Modelling; Market & Liquidity Value at Risk (M-VaR) Modelling; Business Rules Directory; Regulatory Threshold Calculation; Risk Based Price Calculation; Active Portfolio Management; Dynamic Datastore; Credit Risk model Deployment; Risk Weighted Assets and Regulatory Capital; A/B and Test and Learn Deployment; Real Time Threat Detection; New Business MI & Reporting; Model Performance Analytics; Portfolio MI & Portfolio Performance Analytics; Collections MI; Regulatory Reporting and Information Sharing; Strategy (Rules) Performance MI; Financial Accounting / Accounting Hub; Financial Consolidation; Functional Profit & Loss Statement (P&L); Fair Value & Hedge Accounting; Reconciliation, Validation & Adjustments; Tax Management & Optimisation; Activity Based Costing; Profitability Modelling; Profitability Analytics and Optimisation; Performance Management and KPIs; Pricing Analysis & Optimisation; Financial Budgeting, Planning & Forecasting; Business Process Analytics & Optimisation; Funds Transfer Pricing; Asset & Liability Management; Capital Planning and Management; Cashflow Generation; Liquidity Management; FX & Trading Book Management; Interest Rate Management; Statutory Financial Reporting; Regulatory & Compliance Reporting; Sales Reporting; Performance Reporting; Exception Reporting; Executive Dashboards; Operational Dashboard & Decisioning",75
